Any,Codi,Literal,Homes. De 0 a 14 anys,Homes. De 15 a 64 anys,Homes. De 65 anys i més,Dones. De 0 a 14 anys,Dones. De 15 a 64 anys,Dones. De 65 anys i més,Total. De 0 a 14 anys,Total. De 15 a 64 anys,Total. De 65 anys i més
2019,250714,Cava,2,19,8,1,8,9,3,27,17
2019,171899,"Cellera de Ter, la",152,610,203,140,591,250,292,1.201,453
2019,170499,Celrà,580,1.883,259,578,1.849,303,1.158,3.732,562
2019,080673,Centelles,605,2.429,596,572,2.355,847,1.177,4.784,1.443
2019,082687,Cercs,65,379,133,55,316,197,120,695,330
2019,082665,Cerdanyola del Vallès,4.208,18.981,4.849,3.948,19.297,6.120,8.156,38.278,10.969
2019,080689,Cervelló,780,3.057,692,720,2.947,858,1.500,6.004,1.550
2019,250729,Cervera,804,3.199,667,765,2.903,842,1.569,6.102,1.509
2019,250735,Cervià de les Garrigues,26,217,93,31,171,102,57,388,195
2019,170502,Cervià de Ter,92,311,89,81,312,83,173,623,172
2019,170519,Cistella,20,85,33,22,90,32,42,175,65
2019,250740,Ciutadilla,11,65,35,10,56,31,21,121,66
2019,250753,Clariana de Cardener,10,58,14,10,52,13,20,110,27
2019,250766,"Cogul, el",6,48,34,4,38,28,10,86,62
2019,170545,Colera,13,144,66,21,133,71,34,277,137
2019,250772,Coll de Nargó,35,174,76,30,162,73,65,336,149
2019,080692,Collbató,450,1.579,291,389,1.437,320,839,3.016,611
2019,430458,Colldejou,8,66,19,11,51,21,19,117,40
2019,080706,Collsuspina,28,112,34,34,105,29,62,217,63
2019,170558,Colomers,9,57,21,10,53,26,19,110,47
2019,251636,"Coma i la Pedra, la",14,113,30,9,76,23,23,189,53
2019,251615,Conca de Dalt,22,123,68,25,117,63,47,240,131
2019,430461,Conesa,6,30,18,1,32,16,7,62,34
2019,430477,Constantí,643,2.297,458,590,2.054,498,1.233,4.351,956
2019,080713,Copons,25,96,31,31,89,38,56,185,69
2019,430483,Corbera d'Ebre,72,331,128,49,289,147,121,620,275
